Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
215;21100223332;"International Journal of Information System Modeling and Design";journal;"19478186, 19478194";0,224;Q4;19;7;58;178;80;58;1,45;25,43;United States;Northern America;"IGI Publishing";"2010-2023";"Information Systems (Q4); Management of Technology and Innovation (Q4)";"Business, Management and Accounting; Computer Science"
216;4000148902;"International Journal of Services and Operations Management";journal;"17442370, 17442389";0,222;Q4;34;77;239;5005;230;239;0,64;65,00;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2006-2023";"Industrial and Manufacturing Engineering (Q3); Management of Technology and Innovation (Q4); Management Science and Operations Research (Q4)";"Business, Management and Accounting; Decision Sciences; Engineering"
217;6800153107;"International Journal of Foresight and Innovation Policy";journal;"17402816, 17402824";0,220;Q4;22;13;30;819;32;30;0,29;63,00;United Kingdom;Western Europe;"Inderscience";"2004-2013, 2015-2022";"Management of Technology and Innovation (Q4); Strategy and Management (Q4)";"Business, Management and Accounting"
218;21100212700;"RAE Revista de Administracao de Empresas";journal;"2178938X, 00347590";0,218;Q4;23;28;145;1805;96;138;0,52;64,46;Brazil;Latin America;"Fundacao Getulio Vargas, Escola de Administracao de Empresas de Sao Paulo";"2007-2023";"Business, Management and Accounting (miscellaneous) (Q3); Development (Q3); Education (Q3); Industrial Relations (Q3); Information Systems and Management (Q3); Business and International Management (Q4); Management of Technology and Innovation (Q4); Management Science and Operations Research (Q4); Marketing (Q4); Organizational Behavior and Human Resource Management (Q4); Public Administration (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
219;21100220467;"International Journal of Knowledge-Based Development";journal;"20404476, 20404468";0,217;Q4;24;27;46;829;56;44;0,96;30,70;Switzerland;Western Europe;"Inderscience";"2010-2023";"Information Systems and Management (Q3); Management of Technology and Innovation (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Decision Sciences"
220;21100898309;"Tuning Journal for Higher Education";journal;"23863137, 23408170";0,216;Q4;6;27;57;1034;55;48;0,82;38,30;Spain;Western Europe;"University of Deusto";"2018-2023";"Education (Q3); Management of Technology and Innovation (Q4)";"Business, Management and Accounting; Social Sciences"
221;21101162971;"Zeitschrift fur Technikfolgenabschatzung in Theorie und Praxis / Journal for Technology Assessment in Theory and Practice";journal;"2568020X, 25678833";0,216;Q4;5;36;120;752;57;78;0,68;20,89;Germany;Western Europe;"Oekom - Gesellschaft fuer Oekologische Kommunikation mbH";"2019-2023";"Management of Technology and Innovation (Q4)";"Business, Management and Accounting"
222;21100890383;"International Journal of Computing and Digital Systems";journal;"2210142X";0,215;Q4;16;202;464;8155;478;464;1,08;40,37;Bahrain;Middle East;"University of Bahrain";"2012-2023";"Computer Graphics and Computer-Aided Design (Q3); Artificial Intelligence (Q4); Computer Networks and Communications (Q4); Human-Computer Interaction (Q4); Information Systems (Q4); Management of Technology and Innovation (Q4)";"Business, Management and Accounting; Computer Science"
223;5400152652;"International Journal of Innovation and Sustainable Development";journal;"17408822, 17408830";0,215;Q4;26;34;80;1993;73;79;0,65;58,62;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2005-2023";"Management of Technology and Innovation (Q4); Renewable Energy, Sustainability and the Environment (Q4)";"Business, Management and Accounting; Energy"
224;21100981346;"Advances in Technology Innovation";journal;"25182994, 24150436";0,209;Q4;8;24;72;723;80;72;0,92;30,13;Taiwan;Asiatic Region;"Taiwan Association of Engineering and Technology Innovation";"2020-2023";"Engineering (miscellaneous) (Q3); Computer Science (miscellaneous) (Q4); Energy Engineering and Power Technology (Q4); Environmental Engineering (Q4); Management of Technology and Innovation (Q4); Renewable Energy, Sustainability and the Environment (Q4)";"Business, Management and Accounting; Computer Science; Energy; Engineering; Environmental Science"
