Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
211;4700152208;"International Journal of Humanoid Robotics";journal;"17936942, 02198436";0,376;Q3;42;36;82;1475;123;79;1,18;40,97;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"2004-2023";"Artificial Intelligence (Q3); Mechanical Engineering (Q3)";"Computer Science; Engineering"
212;21100464776;"Statistics, Optimization and Information Computing";journal;"23105070, 2311004X";0,375;Q3;19;74;200;2082;276;200;1,38;28,14;United States;Northern America;"International Academic Press";"2013-2023";"Artificial Intelligence (Q3); Computer Vision and Pattern Recognition (Q3); Control and Optimization (Q3); Information Systems (Q3); Signal Processing (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Computer Science; Decision Sciences; Mathematics"
213;21100901206;"IAES International Journal of Artificial Intelligence";journal;"20894872, 22528938";0,365;Q3;22;206;379;7015;1028;379;2,51;34,05;Indonesia;Asiatic Region;"Institute of Advanced Engineering and Science (IAES)";"2018-2023";"Artificial Intelligence (Q3); Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3); Information Systems and Management (Q3)";"Computer Science; Decision Sciences; Engineering"
214;130045;"Journal of Applied Biomedicine";journal;"12140287, 1214021X";0,363;Q3;38;25;63;973;122;63;2,07;38,92;Czech Republic;Eastern Europe;"University of South Bohemia in Ceske Budejovice Faculty of Health and Social Sciences";"2005-2023";"Agricultural and Biological Sciences (miscellaneous) (Q2); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q2); Artificial Intelligence (Q3); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Biomedical Engineering (Q3); Health, Toxicology and Mutagenesis (Q3); Immunology and Microbiology (miscellaneous)  (Q3); Medicine (miscellaneous) (Q3); Neuroscience (miscellaneous) (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Computer Science; Engineering; Environmental Science; Immunology and Microbiology; Medicine; Neuroscience; Pharmacology, Toxicology and Pharmaceutics"
215;21101052917;"Mathematical Foundations of Computing";journal;"25778838";0,363;Q3;6;52;74;1602;82;72;1,16;30,81;United States;Northern America;"American Institute of Mathematical Sciences";"2020-2023";"Artificial Intelligence (Q3); Computational Mathematics (Q3); Computational Theory and Mathematics (Q3); Theoretical Computer Science (Q3)";"Computer Science; Mathematics"
216;19600166036;"International Journal of Artificial Intelligence";journal;"09740635";0,362;Q3;32;16;69;657;62;68;0,55;41,06;India;Asiatic Region;"Centre for Environment and Socio-Economic Research Publications";"2009-2023";"Artificial Intelligence (Q3)";"Computer Science"
217;21101058819;"Journal of Robotics and Control (JRC)";journal;"27155056, 27155072";0,361;Q3;20;76;232;6109;735;232;3,44;80,38;Indonesia;Asiatic Region;"Department of Electrical Engineering, Universitas Muhammadiyah Yogyakarta";"2020-2023";"Artificial Intelligence (Q3); Control and Systems Engineering (Q3)";"Computer Science; Engineering"
218;21101132923;"Internet Technology Letters";journal;"24761508";0,346;Q3;21;114;203;1718;379;114;1,80;15,07;United Kingdom;Western Europe;"John Wiley and Sons Inc.";"2018-2023";"Artificial Intelligence (Q3); Computer Networks and Communications (Q3); Information Systems (Q3); Software (Q3)";"Computer Science"
219;27190;"Machine Translation";journal;"09226567, 15730573";0,340;Q3;35;0;39;0;107;36;2,27;0,00;Netherlands;Western Europe;"Springer Netherlands";"1989-2021";"Linguistics and Language (Q1); Artificial Intelligence (Q3); Software (Q3)";"Computer Science; Social Sciences"
220;25476;"Intelligent Automation and Soft Computing";journal;"10798587, 2326005X";0,338;Q3;35;666;896;21172;2224;892;2,70;31,79;United States;Northern America;"Tech Science Press";"1995-2023";"Artificial Intelligence (Q3); Computational Theory and Mathematics (Q3); Software (Q3); Theoretical Computer Science (Q4)";"Computer Science; Mathematics"
