Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
54;21100806906;"Uncertain Supply Chain Management";journal;"22916822, 22916830";0,436;Q2;33;190;344;9282;1712;343;5,15;48,85;Canada;Northern America;"Growing Science";"2013-2023";"Business and International Management (Q2); Management Information Systems (Q2); Management Science and Operations Research (Q3); Statistics, Probability and Uncertainty (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Decision Sciences"
55;21101019334;"Journal of Business Analytics";journal;"2573234X, 25732358";0,420;Q2;9;18;36;1197;84;35;2,56;66,50;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2018-2023";"Industrial and Manufacturing Engineering (Q2); Information Systems and Management (Q2); Management Information Systems (Q2); Artificial Intelligence (Q3); Information Systems (Q3); Management Science and Operations Research (Q3); Statistics, Probability and Uncertainty (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering"
56;21101071063;"Revista de Gestao";journal;"18092276, 21778736";0,418;Q2;17;38;76;1893;188;71;2,33;49,82;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2018-2023";"Business and International Management (Q2); Management Information Systems (Q2); Management of Technology and Innovation (Q3); Marketing (Q3)";"Business, Management and Accounting"
57;21100894767;"INFORMS Transactions on Education";journal;"15320545";0,408;Q2;7;24;50;352;62;47;1,09;14,67;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"2018-2023";"Education (Q2); Management Information Systems (Q2); Management Science and Operations Research (Q3)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
58;19700181204;"OPSEARCH";journal;"00303887, 09750320";0,386;Q2;29;90;179;4188;394;179;2,13;46,53;India;Asiatic Region;"Springer India";"2009-2023";"Management Information Systems (Q2); Computer Science Applications (Q3); Information Systems (Q3); Management Science and Operations Research (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences"
59;21100884987;"Engineering Management in Production and Services";journal;"25436597, 2543912X";0,377;Q2;21;33;105;2017;227;105;1,89;61,12;Poland;Eastern Europe;"De Gruyter Open Ltd.";"2016-2023";"Industrial and Manufacturing Engineering (Q2); Management Information Systems (Q2); Management of Technology and Innovation (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Engineering"
60;5700161163;"Organizacija";journal;"15811832, 13185454";0,376;Q2;17;24;66;1487;143;66;2,02;61,96;Poland;Eastern Europe;"Sciendo";"2016-2023";"Management Information Systems (Q2); Business and International Management (Q3); Marketing (Q3); Organizational Behavior and Human Resource Management (Q3); Strategy and Management (Q3); Tourism, Leisure and Hospitality Management (Q3)";"Business, Management and Accounting"
61;12000154350;"International Journal of Knowledge Management";journal;"15480666, 15480658";0,370;Q2;30;3;59;179;126;59;1,94;59,67;United States;Northern America;"IGI Publishing";"2005-2023";"Management Information Systems (Q2); Computer Science Applications (Q3); Management of Technology and Innovation (Q3)";"Business, Management and Accounting; Computer Science"
62;4700152803;"Journal of Business-to-Business Marketing";journal;"15470628, 1051712X";0,370;Q2;37;24;70;2011;127;70;1,78;83,79;United States;Northern America;"Routledge";"1992-2023";"Management Information Systems (Q2); Marketing (Q3)";"Business, Management and Accounting"
63;19400158510;"Logistics Research";journal;"18650368, 1865035X";0,368;Q2;28;12;26;1076;49;26;2,13;89,67;Germany;Western Europe;"Bundesvereinigung Logistik (BVL)";"2009-2010, 2012-2023";"Management Information Systems (Q2); Computer Science Applications (Q3); Control and Systems Engineering (Q3); Information Systems (Q3); Management Science and Operations Research (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering"
