Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
134;19168;"Journal of Dynamical and Control Systems";journal;"15738698, 10792724";0,469;Q2;42;94;135;2357;156;135;0,84;25,07;United States;Northern America;"Springer New York";"1995-2023";"Algebra and Number Theory (Q2); Control and Optimization (Q2); Control and Systems Engineering (Q2); Numerical Analysis (Q2)";"Engineering; Mathematics"
135;12170;"Modeling, Identification and Control";journal;"03327353, 18901328";0,469;Q2;31;11;45;277;86;45;0,92;25,18;Norway;Western Europe;"Research Council of Norway";"1980-1989, 1996-2023";"Control and Systems Engineering (Q2); Modeling and Simulation (Q2); Computer Science Applications (Q3); Software (Q3)";"Computer Science; Engineering; Mathematics"
136;21100873335;"Journal of Control and Decision";journal;"23307714, 23307706";0,465;Q2;21;127;123;4207;245;123;1,84;33,13;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2014-2023";"Control and Systems Engineering (Q2); Artificial Intelligence (Q3); Computer Networks and Communications (Q3); Control and Optimization (Q3); Human-Computer Interaction (Q3); Information Systems (Q3); Signal Processing (Q3)";"Computer Science; Engineering; Mathematics"
137;21100309827;"Control Theory and Technology";journal;"20956983, 21980942";0,462;Q2;39;53;138;1500;233;125;1,77;28,30;United States;Northern America;"Springer Science + Business Media";"2014-2023";"Aerospace Engineering (Q2); Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Modeling and Simulation (Q2); Control and Optimization (Q3); Information Systems (Q3); Signal Processing (Q3)";"Computer Science; Engineering; Mathematics"
138;19700177026;"IEEE Embedded Systems Letters";journal;"19430663";0,455;Q2;33;108;141;891;252;139;2,03;8,25;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2009-2023";"Computer Science (miscellaneous) (Q2); Control and Systems Engineering (Q2)";"Computer Science; Engineering"
139;21101049547;"EAI Endorsed Transactions on Industrial Networks and Intelligent Systems";journal;"24100218";0,453;Q2;13;18;56;618;152;56;3,06;34,33;Belgium;Western Europe;"European Alliance for Innovation";"2014-2023";"Control and Systems Engineering (Q2); Computer Networks and Communications (Q3); Computer Science Applications (Q3); Information Systems (Q3)";"Computer Science; Engineering"
140;21100463102;"International Journal of Dynamics and Control";journal;"2195268X, 21952698";0,449;Q2;33;336;401;12433;1059;400;2,81;37,00;Switzerland;Western Europe;"Springer International Publishing AG";"2013-2023";"Civil and Structural Engineering (Q2); Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Mechanical Engineering (Q2); Modeling and Simulation (Q2); Control and Optimization (Q3)";"Engineering; Mathematics"
141;21100972601;"Process Integration and Optimization for Sustainability";journal;"25094246, 25094238";0,445;Q2;18;95;172;5416;491;167;2,82;57,01;Singapore;Asiatic Region;"Springer International Publishing";"2017-2023";"Chemical Engineering (miscellaneous) (Q2); Control and Systems Engineering (Q2); Geography, Planning and Development (Q2); Management, Monitoring, Policy and Law (Q3); Pollution (Q3); Renewable Energy, Sustainability and the Environment (Q3); Waste Management and Disposal (Q3)";"Chemical Engineering; Energy; Engineering; Environmental Science; Social Sciences"
142;19700174611;"Information Technology and Control";journal;"1392124X";0,444;Q2;22;73;147;2437;338;147;2,57;33,38;Lithuania;Eastern Europe;"Kauno Technologijos Universitetas";"2008-2023";"Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Computer Science Applications (Q3)";"Computer Science; Engineering"
143;21100244214;"Journal of Control, Automation and Electrical Systems";journal;"21953880, 21953899";0,443;Q3;29;103;417;3587;895;416;2,05;34,83;United States;Northern America;"Springer Science + Business Media";"2013-2023";"Electrical and Electronic Engineering (Q2); Energy Engineering and Power Technology (Q2); Computer Science Applications (Q3); Control and Systems Engineering (Q3)";"Computer Science; Energy; Engineering"
