Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
292;21101065510;"Data-Centric Engineering";journal;"26326736";0,676;Q2;11;29;68;1608;286;67;2,94;55,45;United Kingdom;Western Europe;"Cambridge University Press";"2020-2023";"Engineering (miscellaneous) (Q1); Applied Mathematics (Q2); Computer Science Applications (Q2); Statistics and Probability (Q2)";"Computer Science; Engineering; Mathematics"
293;25022;"IEEE Pervasive Computing";journal;"15361268";0,676;Q2;108;37;136;664;248;123;1,76;17,95;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2002-2023";"Computational Theory and Mathematics (Q2); Computer Science Applications (Q2); Software (Q2)";"Computer Science"
294;21101043571;"Journal of Information and Telecommunication";journal;"24751847, 24751839";0,674;Q2;16;37;82;1200;350;81;4,66;32,43;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2017-2023";"Computer Networks and Communications (Q2); Computer Science Applications (Q2); Computer Science (miscellaneous) (Q2); Electrical and Electronic Engineering (Q2)";"Computer Science; Engineering"
295;21101058018;"Journal of Physics: Complexity";journal;"2632072X";0,674;Q2;15;64;169;3261;461;169;2,72;50,95;United Kingdom;Western Europe;"IOP Publishing Ltd.";"2020-2023";"Artificial Intelligence (Q2); Computer Networks and Communications (Q2); Computer Science Applications (Q2); Information Systems (Q2)";"Computer Science"
296;21100897500;"Education Sciences";journal;"22277102";0,669;Q2;53;1251;2144;71347;8025;2099;3,48;57,03;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2011-2023";"Computer Science Applications (Q2); Computer Science (miscellaneous) (Q2); Developmental and Educational Psychology (Q2); Education (Q2); Physical Therapy, Sports Therapy and Rehabilitation (Q2); Public Administration (Q2)";"Computer Science; Health Professions; Psychology; Social Sciences"
297;24595;"Chemometrics and Intelligent Laboratory Systems";journal;"01697439, 18733239";0,667;Q2;144;198;548;8406;2412;546;4,24;42,45;Netherlands;Western Europe;"Elsevier B.V.";"1986-2023";"Analytical Chemistry (Q2); Computer Science Applications (Q2); Process Chemistry and Technology (Q2); Software (Q2); Spectroscopy (Q2)";"Chemical Engineering; Chemistry; Computer Science"
298;19700177337;"Social Network Analysis and Mining";journal;"18695450, 18695469";0,667;Q2;48;151;382;7866;1388;382;3,49;52,09;Austria;Western Europe;"Springer-Verlag Wien";"2011-2023";"Communication (Q1); Media Technology (Q1); Computer Science Applications (Q2); Human-Computer Interaction (Q2); Information Systems (Q2)";"Computer Science; Engineering; Social Sciences"
299;21101042013;"Journal of Educational Data Mining";journal;"21572100";0,665;Q2;9;13;37;651;82;34;0,92;50,08;United States;Northern America;"International Educational Data Mining Society";"2019-2023";"Computer Science Applications (Q2); Education (Q2); Artificial Intelligence (Q3)";"Computer Science; Social Sciences"
300;24501;"Computational Geosciences";journal;"14200597";0,663;Q2;79;77;316;3534;824;308;2,60;45,90;Netherlands;Western Europe;"Springer Netherlands";"1982-1983, 1997-2023";"Computational Mathematics (Q2); Computational Theory and Mathematics (Q2); Computer Science Applications (Q2); Computers in Earth Sciences (Q2)";"Computer Science; Earth and Planetary Sciences; Mathematics"
301;18300156719;"Journal of Building Performance Simulation";journal;"19401507, 19401493";0,663;Q2;52;58;141;2850;450;138;2,61;49,14;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2008-2023";"Architecture (Q1); Building and Construction (Q1); Computer Science Applications (Q2); Modeling and Simulation (Q2)";"Computer Science; Engineering; Mathematics"
302;21100901137;"Journal of Statistical Distributions and Applications";journal;"21955832";0,663;Q2;19;0;23;0;87;23;3,69;0,00;Germany;Western Europe;"SpringerOpen";"2014-2015, 2017-2021";"Computer Science Applications (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Computer Science; Decision Sciences; Mathematics"
303;18202;"Eurasip Journal on Wireless Communications and Networking";journal;"16871499, 16871472";0,661;Q2;74;100;563;3820;1695;561;3,05;38,20;United Kingdom;Western Europe;"SpringerOpen";"2004-2023";"Computer Networks and Communications (Q2); Computer Science Applications (Q2); Signal Processing (Q2)";"Computer Science"
304;19200156938;"Transforming Government: People, Process and Policy";journal;"17506166";0,661;Q2;47;49;126;2511;538;121;3,74;51,24;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2007-2023";"Computer Science Applications (Q2); E-learning (Q2); Information Systems and Management (Q2); Public Administration (Q2)";"Computer Science; Decision Sciences; Social Sciences"
305;19400158708;"Entertainment Computing";journal;"18759521";0,659;Q2;39;66;151;3714;632;150;4,14;56,27;Netherlands;Western Europe;"Elsevier B.V.";"2009-2024";"Computer Science Applications (Q2); Human-Computer Interaction (Q2); Software (Q2)";"Computer Science"
306;16319;"IEEE Transactions on Nanobioscience";journal;"15361241, 15582639";0,659;Q2;73;119;198;4764;744;194;4,10;40,03;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2002-2023";"Bioengineering (Q2); Biomedical Engineering (Q2); Biotechnology (Q2); Computer Science Applications (Q2); Electrical and Electronic Engineering (Q2); Medicine (miscellaneous) (Q2); Nanoscience and Nanotechnology (Q2); Pharmaceutical Science (Q2)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Computer Science; Engineering; Materials Science; Medicine; Pharmacology, Toxicology and Pharmaceutics"
307;22545;"Diqiu Kexue - Zhongguo Dizhi Daxue Xuebao/Earth Science - Journal of China University of Geosciences";journal;"10002383";0,658;Q2;50;306;1004;14569;2083;1004;2,16;47,61;China;Asiatic Region;"China University of Geosciences";"1981, 2001-2023";"Earth and Planetary Sciences (miscellaneous) (Q1); Building and Construction (Q2); Computer Science Applications (Q2)";"Computer Science; Earth and Planetary Sciences; Engineering"
308;12984;"Machine Vision and Applications";journal;"14321769, 09328092";0,657;Q2;77;128;292;6073;1015;289;3,24;47,45;Germany;Western Europe;"Springer Verlag";"1988-2023";"Computer Science Applications (Q2); Computer Vision and Pattern Recognition (Q2); Hardware and Architecture (Q2); Software (Q2)";"Computer Science"
309;21100915697;"Journal of Special Education Technology";journal;"23813121, 01626434";0,654;Q2;40;69;103;2878;339;102;2,68;41,71;United States;Northern America;"SAGE Publications Inc.";"1996-2023";"Computer Science Applications (Q2); Education (Q2)";"Computer Science; Social Sciences"
310;22315;"Personal and Ubiquitous Computing";journal;"16174909, 16174917";0,654;Q2;97;164;246;6673;766;231;2,71;40,69;United Kingdom;Western Europe;"Springer London";"1997-2023";"Library and Information Sciences (Q1); Computer Science Applications (Q2); Hardware and Architecture (Q2); Management Science and Operations Research (Q2)";"Computer Science; Decision Sciences; Social Sciences"
311;21100211117;"Communications in Applied Mathematics and Computational Science";journal;"15593940, 21575452";0,653;Q2;26;7;19;240;43;19;2,15;34,29;United States;Northern America;"Mathematical Sciences Publishers";"2006-2023";"Applied Mathematics (Q2); Computational Theory and Mathematics (Q2); Computer Science Applications (Q2)";"Computer Science; Mathematics"
312;17600155133;"E-Learning and Digital Media";journal;"20427530, 17418887";0,646;Q2;30;50;97;2956;364;97;3,77;59,12;United Kingdom;Western Europe;"SAGE Publications Inc.";"2009-2023";"Computer Science Applications (Q2); Education (Q2)";"Computer Science; Social Sciences"
313;21100855506;"International Journal of E-Planning Research";journal;"21609926, 21609918";0,646;Q2;15;10;51;574;129;51;3,14;57,40;United States;Northern America;"IGI Global Publishing";"2017-2023";"Urban Studies (Q1); Computer Science Applications (Q2); Geography, Planning and Development (Q2)";"Computer Science; Social Sciences"
