Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
54;15688;"Journal of Information Systems";journal;"08887985, 15587959";0,537;Q2;44;24;97;1845;266;95;2,48;76,88;United States;Northern America;"American Accounting Association";"1991, 2009-2023";"Accounting (Q2); Information Systems (Q2); Information Systems and Management (Q2); Management Information Systems (Q2); Management of Technology and Innovation (Q2); Human-Computer Interaction (Q3); Software (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences"
55;21100421900;"Information and Computer Security";journal;"20564961";0,527;Q2;57;43;116;2501;387;115;2,75;58,16;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2015-2023";"Computer Networks and Communications (Q2); Information Systems (Q2); Information Systems and Management (Q2); Management Information Systems (Q2); Management of Technology and Innovation (Q2); Software (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences"
56;21100886537;"Operations and Supply Chain Management";journal;"19793561, 25799363";0,518;Q2;18;42;119;2602;404;119;3,29;61,95;Indonesia;Asiatic Region;"Operations and Supply Chain Management Forum";"2018-2023";"Information Systems and Management (Q2); Management Information Systems (Q2); Management Science and Operations Research (Q3); Statistics, Probability and Uncertainty (Q3)";"Business, Management and Accounting; Decision Sciences"
57;21101073717;"Pacific Asia Journal of the Association for Information Systems";journal;"19437536, 19437544";0,511;Q2;11;16;66;1587;199;64;2,78;99,19;United States;Northern America;"Association for Information Systems";"2019-2023";"Information Systems (Q2); Information Systems and Management (Q2); Management Information Systems (Q2); Computer Science Applications (Q3); Human-Computer Interaction (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences"
58;21100924372;"Data";journal;"23065729";0,503;Q2;38;186;432;6923;1229;400;2,78;37,22;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2016-2023";"Information Systems (Q2); Information Systems and Management (Q2); Computer Science Applications (Q3)";"Computer Science; Decision Sciences"
59;12100154510;"International Journal of Enterprise Information Systems";journal;"15481115, 15481123";0,500;Q2;27;3;55;261;117;55;1,76;87,00;United States;Northern America;"IGI Publishing";"2005-2023";"Information Systems and Management (Q2); Management Information Systems (Q2); Computer Science Applications (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences"
60;19900194826;"Journal of Global Information Technology Management";journal;"1097198X, 23336846";0,499;Q2;38;20;61;1330;159;39;2,37;66,50;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1998-2023";"E-learning (Q2); Information Systems (Q2); Information Systems and Management (Q2)";"Computer Science; Decision Sciences; Social Sciences"
61;21100886533;"Journal of Information Technology Case and Application Research";journal;"15228053, 23336897";0,485;Q2;20;26;60;1033;140;38;1,30;39,73;United States;Northern America;"Taylor and Francis Ltd.";"2005-2023";"Information Systems and Management (Q2); Management Science and Operations Research (Q3)";"Decision Sciences"
62;13130;"Distributed and Parallel Databases";journal;"09268782, 15737578";0,442;Q2;46;31;104;1004;189;99;1,66;32,39;Netherlands;Western Europe;"Springer Netherlands";"1993-2023";"Information Systems and Management (Q2); Hardware and Architecture (Q3); Information Systems (Q3); Software (Q3)";"Computer Science; Decision Sciences"
63;19700175219;"Iranian Journal of Fuzzy Systems";journal;"17350654";0,433;Q2;37;70;232;2456;454;232;1,93;35,09;Iran;Middle East;"University of Sistan and Baluchestan";"2004-2023";"Information Systems and Management (Q2); Mathematics (miscellaneous) (Q2); Artificial Intelligence (Q3); Computer Science Applications (Q3)";"Computer Science; Decision Sciences; Mathematics"
