Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
36;21101133575;"Journal of International Crisis and Risk Communication Research";journal;"25760025, 25760017";0,412;Q3;11;10;44;446;101;42;2,00;44,60;United States;Northern America;"Nicholson School of Communication and Media";"2019-2023";"Communication (Q2); Safety Research (Q2); Decision Sciences (miscellaneous) (Q3)";"Decision Sciences; Social Sciences"
37;21100314709;"Decision Science Letters";journal;"19295804, 19295812";0,399;Q3;29;64;130;2929;309;129;1,97;45,77;Canada;Northern America;"Growing Science";"2012-2023";"Decision Sciences (miscellaneous) (Q3)";"Decision Sciences"
38;21101068186;"International Journal of Crowd Science";journal;"23987294";0,375;Q3;15;25;66;609;139;65;2,18;24,36;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2017-2023";"Business, Management and Accounting (miscellaneous) (Q2); Computer Science (miscellaneous) (Q2); Decision Sciences (miscellaneous) (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences"
39;21100775412;"Foresight and STI Governance";journal;"23129972, 25002597";0,373;Q3;25;31;88;1894;159;85;1,71;61,10;Russian Federation;Eastern Europe;"National Research University, Higher School of Econoimics";"2015-2023";"History and Philosophy of Science (Q1); Development (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2); Business and International Management (Q3); Business, Management and Accounting (miscellaneous) (Q3); Decision Sciences (miscellaneous) (Q3); Management of Technology and Innovation (Q3); Statistics, Probability and Uncertainty (Q3); Strategy and Management (Q3)";"Arts and Humanities; Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Social Sciences"
40;300147003;"Journal of Futures Studies";journal;"10276084";0,358;Q3;24;35;107;1376;101;107;0,88;39,31;Taiwan;Asiatic Region;"Tamkang University";"2005-2023";"Development (Q2); History and Philosophy of Science (Q2); Decision Sciences (miscellaneous) (Q3)";"Arts and Humanities; Decision Sciences; Social Sciences"
41;21100869515;"International Journal of the Analytic Hierarchy Process";journal;"19366744";0,321;Q3;9;12;82;490;105;74;1,15;40,83;United States;Northern America;"Creative Decisions Foundation";"2018-2023";"Decision Sciences (miscellaneous) (Q3)";"Decision Sciences"
42;21100255064;"Mendel";journal;"18033814";0,302;Q3;15;32;51;1136;82;51;1,73;35,50;Czech Republic;Eastern Europe;"Brno University of Technology";"2005-2007, 2009-2023";"Computational Mathematics (Q3); Computer Science (miscellaneous) (Q3); Control and Systems Engineering (Q3); Decision Sciences (miscellaneous) (Q3); Artificial Intelligence (Q4); Theoretical Computer Science (Q4)";"Computer Science; Decision Sciences; Engineering; Mathematics"
43;21100394266;"International Journal of Agile Systems and Management";journal;"17419174, 17419182";0,279;Q3;27;20;64;1454;119;64;1,36;72,70;Switzerland;Western Europe;"Inderscience";"2006-2009, 2011-2023";"Multidisciplinary (Q2); Computer Science (miscellaneous) (Q3); Decision Sciences (miscellaneous) (Q3); Engineering (miscellaneous) (Q3); Industrial and Manufacturing Engineering (Q3); Management Information Systems (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering; Multidisciplinary"
44;21100803316;"Valori e Valutazioni";journal;"20362404";0,276;Q3;15;26;84;1533;105;76;1,20;58,96;Italy;Western Europe;"Societa Italiana di Estimo e Valutazione (SIEV)";"2016-2023";"Law (Q2); Decision Sciences (miscellaneous) (Q3); Finance (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Social Sciences"
45;21100202502;"International Journal of Mathematics in Operational Research";journal;"17575850, 17575869";0,272;Q3;29;74;206;2835;272;206;0,98;38,31;Switzerland;Western Europe;"Inderscience";"2009-2023";"Decision Sciences (miscellaneous) (Q3); Modeling and Simulation (Q3)";"Decision Sciences; Mathematics"
46;4000151802;"International Journal of Management and Decision Making";journal;"14624621, 17415187";0,252;Q3;27;15;65;1023;108;65;1,30;68,20;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2000, 2002-2023";"Decision Sciences (miscellaneous) (Q3)";"Decision Sciences"
47;23830;"Vikalpa";journal;"23953799, 02560909";0,240;Q3;34;22;63;879;59;52;0,98;39,95;India;Asiatic Region;"SAGE Publications Ltd";"1981-1982, 1986, 1994, 1996-2023";"Business, Management and Accounting (miscellaneous) (Q3); Decision Sciences (miscellaneous) (Q3)";"Business, Management and Accounting; Decision Sciences"
48;21101042317;"Journal of Systems Science and Information";journal;"14789906, 25126660";0,237;Q3;8;42;112;1596;120;110;1,00;38,00;China;Asiatic Region;"Science China Press";"2019-2023";"Decision Sciences (miscellaneous) (Q3); Economics, Econometrics and Finance (miscellaneous) (Q3); Applied Mathematics (Q4); Computer Networks and Communications (Q4); Control and Systems Engineering (Q4); Statistics and Probability (Q4)";"Computer Science; Decision Sciences; Economics, Econometrics and Finance; Engineering; Mathematics"
49;21101037310;"Register: Jurnal Ilmiah Teknologi Sistem Informasi";journal;"25023357, 25030477";0,236;Q4;7;14;41;586;75;41;1,89;41,86;Indonesia;Asiatic Region;"Universitas Pesantren Tinggi Darul Ulum";"2015-2023";"Computer Science (miscellaneous) (Q3); Information Systems and Management (Q3); Artificial Intelligence (Q4); Decision Sciences (miscellaneous) (Q4); Information Systems (Q4)";"Computer Science; Decision Sciences"
50;4500151542;"International Journal of Intelligent Information Technologies";journal;"15483665, 15483657";0,234;Q4;19;15;64;560;76;64;0,96;37,33;United States;Northern America;"IGI Publishing";"2005-2023";"Decision Sciences (miscellaneous) (Q4); Information Systems (Q4)";"Computer Science; Decision Sciences"
51;21101153205;"Journal of Optimization";journal;"23146486, 2356752X";0,217;Q4;1;2;1;157;1;1;1,00;78,50;United Kingdom;Western Europe;"Wiley-Hindawi";"2022-2023";"Analysis (Q4); Control and Optimization (Q4); Decision Sciences (miscellaneous) (Q4)";"Decision Sciences; Mathematics"
52;19700186887;"International Journal of Information Systems and Change Management";journal;"1479313X, 14793121";0,209;Q4;14;15;25;995;26;21;1,21;66,33;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2007-2023";"Business, Management and Accounting (miscellaneous) (Q3); Decision Sciences (miscellaneous) (Q4)";"Business, Management and Accounting; Decision Sciences"
53;21101121177;"Journal of Defense Analytics and Logistics";journal;"23996439, 23996447";0,201;Q4;4;8;30;463;20;30;0,35;57,88;United Kingdom;Western Europe;"Emerald Publishing";"2017-2023";"Decision Sciences (miscellaneous) (Q4); Information Systems and Management (Q4); Management Science and Operations Research (Q4); Statistics, Probability and Uncertainty (Q4)";"Decision Sciences"
54;21100858129;"International Journal of Applied Metaheuristic Computing";journal;"19478283, 19478291";0,198;Q4;8;2;76;83;76;76;1,00;41,50;United States;Northern America;"IGI Global Publishing";"2016, 2018-2023";"Computational Mathematics (Q4); Computational Theory and Mathematics (Q4); Computer Science Applications (Q4); Control and Optimization (Q4); Decision Sciences (miscellaneous) (Q4); Modeling and Simulation (Q4); Statistics and Probability (Q4)";"Computer Science; Decision Sciences; Mathematics"
55;22363;"Periodica Polytechnica, Social and Management Sciences";journal;"14163837, 15873803";0,198;Q4;15;26;54;1084;51;54;1,00;41,69;Hungary;Eastern Europe;"Budapest University of Technology and Economics";"1999-2023";"Engineering (miscellaneous) (Q3); Social Sciences (miscellaneous) (Q3); Decision Sciences (miscellaneous) (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Decision Sciences; Engineering; Social Sciences"
56;21100899503;"Transactional Analysis Journal";journal;"23295244, 03621537";0,198;Q4;7;33;88;1123;68;71;0,78;34,03;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2018-2023";"Clinical Psychology (Q4); Decision Sciences (miscellaneous) (Q4); Developmental and Educational Psychology (Q4); Education (Q4); Psychiatry and Mental Health (Q4)";"Decision Sciences; Medicine; Psychology; Social Sciences"
57;21100199124;"International Journal of Sustainable Manufacturing";journal;"17427223, 17427231";0,182;Q4;19;0;28;0;17;28;0,33;0,00;Switzerland;Western Europe;"Inderscience";"2008-2015, 2018, 2020-2021";"Industrial and Manufacturing Engineering (Q3); Social Sciences (miscellaneous) (Q3); Decision Sciences (miscellaneous) (Q4); Management of Technology and Innovation (Q4)";"Business, Management and Accounting; Decision Sciences; Engineering; Social Sciences"
58;21100204111;"Smart Innovation, Systems and Technologies";book series;"21903026, 21903018";0,174;Q4;35;2762;7788;53466;4406;7007;0,57;19,36;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"2010-2024";"Computer Science (miscellaneous) (Q4); Decision Sciences (miscellaneous) (Q4)";"Computer Science; Decision Sciences"
59;21100943551;"Mathematica Applicanda";journal;"17302668, 22994009";0,169;Q4;5;12;39;243;13;39;0,43;20,25;Poland;Eastern Europe;"Polish Mathematical Society";"2018-2022";"Decision Sciences (miscellaneous) (Q4); Mathematics (miscellaneous) (Q4)";"Decision Sciences; Mathematics"
60;21101090644;"Corporate and Business Strategy Review";journal;"27089924, 27084965";0,156;Q4;6;108;74;5380;89;63;1,36;49,81;Ukraine;Eastern Europe;"Virtus Interpress";"2020-2023";"Decision Sciences (miscellaneous) (Q4); Earth and Planetary Sciences (miscellaneous) (Q4); Management Science and Operations Research (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Decision Sciences; Earth and Planetary Sciences"
61;22303;"Journal of the Operations Research Society of Japan";journal;"04534514";0,151;Q4;31;14;31;331;13;31;0,26;23,64;Japan;Asiatic Region;"Operations Research Society of Japan";"1996-2023";"Decision Sciences (miscellaneous) (Q4); Management Science and Operations Research (Q4)";"Decision Sciences"
62;21100828949;"Studies in Systems, Decision and Control";book series;"21984182, 21984190";0,116;Q4;37;1276;3702;30848;2920;2;0,86;24,18;Switzerland;Western Europe;"Springer International Publishing AG";"2014-2024";"Automotive Engineering (Q4); Computer Science (miscellaneous) (Q4); Control and Optimization (Q4); Control and Systems Engineering (Q4); Decision Sciences (miscellaneous) (Q4); Economics, Econometrics and Finance (miscellaneous) (Q4); Social Sciences (miscellaneous) (Q4)";"Computer Science; Decision Sciences; Economics, Econometrics and Finance; Engineering; Mathematics; Social Sciences"
63;21100886371;"Decyzje";journal;"2391761X, 17330092";0,115;Q4;2;0;17;0;4;16;0,20;0,00;Poland;Eastern Europe;"Kozminski University -Center of Economic Psychology and Decision Sciences";"2018-2021";"Decision Sciences (miscellaneous) (Q4); Economics, Econometrics and Finance (miscellaneous) (Q4); Law (Q4); Public Administration (Q4)";"Decision Sciences; Economics, Econometrics and Finance; Social Sciences"
64;21101043804;"Operations Management Education Review";journal;"16497082, 20444567";0,104;Q4;1;0;22;0;2;20;0,13;0,00;United Kingdom;Western Europe;"NeilsonJournals Publishing";"2019-2022";"Decision Sciences (miscellaneous) (Q4); Information Systems and Management (Q4); Management Science and Operations Research (Q4)";"Decision Sciences"
65;21101045037;"International Journal of Professional Business Review (discontinued)";journal;"25253654";;-;10;315;191;12235;620;190;3,54;38,84;Brazil;Latin America;"AOS-Estratagia and Inovacao";"2016-2023";"Business, Management and Accounting (miscellaneous); Decision Sciences (miscellaneous); Strategy and Management; Tourism, Leisure and Hospitality Management";"Business, Management and Accounting; Decision Sciences"
